,Unnamed: 0,ndim,fid,target,$C_1$ index,$C_{\Gamma}$ index,split,split_value,static_value,Static index,improvement possible
0,0,5,2,-8.0,3714,1302,-0.8,1195.448,1347.96,3714,0.113142823229176
1,1,5,3,0.4,2919,879,1.4,6960.191999999999,7111.08,879,0.021218717831890558
2,2,5,4,0.8,903,900,1.6,6311.2480000000005,6312.32,900,0.00016982662475917287
3,3,5,5,-8.0,4449,1311,0.4,1126.5919999999999,1268.12,1311,0.11160458000820096
4,4,5,6,-8.0,4449,2166,1.0,947.6,1106.36,2166,0.14349759571929566
5,5,5,8,-8.0,3294,867,1.6,1566.6879999999999,1779.52,864,0.11960079122459988
6,6,5,9,-8.0,3225,870,1.2,1596.4159999999995,1757.6,870,0.09170687300864833
7,7,5,10,-8.0,1419,1302,-0.2,1238.84,1449.12,1419,0.1451087556586066
8,8,5,11,-8.0,2706,1302,-1.6,1255.6960000000001,1399.48,2706,0.1027410180924344
9,9,5,12,-8.0,3207,2019,0.8,2787.48,3018.56,2019,0.07655305841195803
10,10,5,13,-8.0,3186,2028,-2.2,2575.424,2992.6,2028,0.13940252623137073
11,11,5,14,-8.0,3294,1419,-1.6,1273.552,1384.92,1266,0.0804147531987407
12,12,5,15,0.4,759,879,1.4,3771.56,3869.0,879,0.02518480227448949
13,13,5,16,-2.0,906,903,-0.6,11834.248,13373.68,903,0.11510907992414955
14,14,5,17,-4.4,969,969,1.6,27437.4,27437.4,969,0.0
15,15,5,18,-4.0,678,678,1.6,29077.32,29077.32,678,0.0
16,16,5,19,-0.6,876,588,0.0,4576.24,5105.52,588,0.1036681865902005
17,17,5,20,0.2,2850,1830,0.8,1533.04,1765.56,348,0.13169759169895098
18,18,5,21,-0.6,2691,2691,1.4,20185.76,20185.76,2691,0.0
19,19,5,22,0.0,996,402,0.8,3592.5679999999998,3720.64,402,0.03442203491872353
20,20,5,23,-0.8,1050,1050,1.6,15876.4,15876.4,1050,0.0
21,21,5,24,1.0,903,876,1.6,1259.3920000000005,1288.88,876,0.022878778474334168
