,ndim,fid,relative improvement possible,Empirical improvement,Statistically significant?,split,target,actual target,Mean static,Mean part 1,Mean part2,Mean split,Std static,Std part1,Std part2,Std split,Static index,$C_1$ index,$C_{\Gamma}$ index,Static,Adaptive
0,5,1,0.050970873786407744,-0.3148240312833275,True,10e-1.2,10e-8.0,10e-8.0,337.56,430.824,357.48,443.832,43.05325074834652,120.10039560301207,44.734255330786496,100.28497283242389,921,3300,900,412.0,391.0
1,5,2,0.12673966586545604,-0.27882326418475634,True,10e0.6,10e-8.0,10e-8.0,1046.828,1198.2,1872.152,1338.708,127.502307492845,208.74430291627124,432.3114998424169,686.8209306187458,3714,3576,2172,1347.96,1177.12
2,5,3,0.1328405811775426,-0.15700820559239648,True,10e0.8,10e0.4,10e0.6,3252.416,3252.416,4575.584,3763.072,3649.4443394774494,3649.4443394774494,4749.631580127452,4376.926531119297,879,879,591,7111.08,6166.4400000000005
3,5,4,0.024396735273243486,0.004959934867378002,False,10e1.2,10e0.8,10e1.0,2630.616,2240.352,2630.616,2229.24,2592.679840733136,2242.5679361160946,2592.679840733136,2330.746383114216,900,903,900,6312.32,6158.32
4,5,5,0.12762199160962684,0.02957411807713395,False,10e0.4,10e-8.0,10e-7.2,1422.46,2552.616,1422.46,1380.392,661.3292314724944,2266.0057732812593,661.3292314724944,949.6521459650371,1311,4449,1311,1268.12,1106.28
5,5,6,0.15344010990997492,-11.59002430612134,True,10e1.0,10e-8.0,10e-8.0,1178.304,4113.096,1178.304,14834.876,175.1820184379664,1392.5121007675302,175.1820184379664,9682.146924552633,2166,4449,2166,1106.36,936.6
6,5,8,0.1279221363064198,0.01008028545941142,False,10e1.0,10e-8.0,10e0.6,538.912,538.08,541.984,532.656,197.7070971310843,577.8767425671326,206.36968707637274,520.9628793532223,864,4377,867,1779.52,1551.8799999999999
7,5,9,0.10780609922621753,-0.05007594936708859,False,10e0.8,10e-8.0,10e0.6,524.32,474.0,524.32,497.736,170.13207105069873,542.8378763498362,170.13207105069873,517.4208444815497,870,4449,870,1757.6,1568.12
8,5,10,0.15573589488793194,0.010683281669127465,False,10e0.2,10e-8.0,10e-4.8,1034.888,1034.888,1659.14,1023.832,240.28645291817847,240.28645291817847,247.60182632605924,240.24153632542397,1419,1419,1302,1449.12,1223.44
9,5,11,0.10383856861119856,0.05660956258708194,False,10e-1.6,10e-8.0,10e-4.0,1108.152,1108.152,2301.784,1045.42,1696.4414593188885,1696.4414593188885,564.8168847901062,1512.5521067388058,2706,2706,1302,1399.48,1254.1599999999999
10,5,12,0.09807325347185392,0.17326705282080934,True,10e0.8,10e-8.0,10e-8.0,3939.328,3851.64,3686.956,3048.128,1741.440965527112,1929.6013470144553,1633.7572261704001,1477.2375352718332,2019,615,1299,3018.56,2722.5200000000004
11,5,13,0.27549288244336034,0.0,False,10e-4.8,10e-8.0,10e-1.8,1770.816,773.784,1770.816,773.784,681.3913340687568,202.18937989914306,681.3913340687568,202.18937989914306,2028,1266,2028,2992.6,2168.16
12,5,14,0.08702307714525026,-0.14708354913043142,True,10e-2.2,10e-8.0,10e-8.0,1065.816,2257.392,1097.44,1222.58,128.89467849372215,224.84828292873397,175.87715712962842,119.97721283643824,1266,2079,1419,1384.92,1264.4
13,5,15,0.12965624192297753,-0.43702545779365787,True,10e0.8,10e0.4,10e1.2,429.888,617.76,429.888,617.76,300.1117982619144,1570.2725490818466,300.1117982619144,1570.2725490818466,879,2310,879,3869.0,3367.36
14,5,16,0.1908076161535195,-0.6596056204982879,True,10e-0.2,10e-2.0,10e0.8,338.76,562.208,338.76,562.208,524.901467325059,271.5582087435399,524.901467325059,271.5582087435399,903,609,903,13373.68,10821.88
15,5,17,0.8654114456909182,0.0,False,10e-1.6,10e-4.4,10e-0.2,22295.072,460.448,22295.072,460.448,1428.1989002992545,1007.4296438441743,1428.1989002992545,1007.4296438441743,969,3186,969,27437.4,3692.7600000000016
16,5,18,0.8692658057895295,0.0,False,10e-0.2,10e-4.0,10e0.4,23770.24,629.948,23770.24,629.948,2550.6218422965017,1522.0429853640796,2550.6218422965017,1522.0429853640796,678,720,678,29077.32,3801.3999999999996
17,5,19,0.3392563343205003,-0.0016179103496987146,False,10e-0.4,10e-0.6,10e-0.4,3896.384,3902.688,4216.128,3902.688,7196.124564551673,5564.835382889237,7114.20466950565,5564.835382889237,588,876,879,5105.52,3373.4399999999996
18,5,20,0.27782686513061017,-1.164233576642336,True,10e0.4,10e0.2,10e0.4,203.856,441.192,1007.616,441.192,307.2234028585713,1639.834763363675,985.6791427964781,1639.834763363675,348,1551,1830,1765.56,1275.04
19,5,21,0.19616402850326176,-0.06542743424088604,False,10e-0.2,10e-0.6,10e0.4,2219.008,2364.192,2219.008,2364.192,2051.659521445018,2145.574129955896,2051.659521445018,2145.574129955896,2691,2406,2691,20185.76,16226.039999999997
20,5,22,0.19594478369312818,0.0,False,10e0.4,10e0.0,10e0.8,1004.232,938.98,1004.232,938.98,1399.2021820223124,1896.2151554082675,1399.2021820223124,1896.2151554082675,402,1410,402,3720.64,2991.5999999999995
21,5,23,0.2674737345997834,0.0,False,10e-0.6,10e-0.8,10e0.0,2623.856,2280.192,2623.856,2280.192,2775.033071382033,2519.525205100358,2775.033071382033,2519.525205100358,1050,906,1050,15876.4,11629.88
22,5,24,0.11876978461920418,-4.4841890440386685,True,10e1.4,10e1.0,10e1.2,744.8,3674.184,744.8,4084.624,676.2241521862406,3563.222377307372,676.2241521862406,7507.083881949369,876,2445,876,1288.88,1135.8000000000002
